data,stayingpower,texture,smell,price,others,colour,shipping,packing
"Chất son với mùi của ver này thì mình vẫn luôn ưng rồi. Màu v21 mình vẫn dùng từ trước rồi, lần này có đặt thử thêm v25 thì cũng rất đẹp, v25 nó cũng gần gần như v17, đánh vào mùa đông hợp luôn, màu này dùng đánh lòng môi đẹp lắm",,positive,,,,positive,,
"Màu lên khá ok, son mịn không lì, mùi hơi hắc nhưng kh sao nhaaaa",negative,positive,negative,,,positive,,
"Xinh xểu
Chất son mềm mịn, lên màu chuẩn
Mỗi tội giao hàng lâu ơi là lâu",,positive,,,,positive,negative,
Mình kh ngờ với 20k có thể oder được chiếc son sịn sò như vậy màu khá ưng chất son mịn và lì sẽ tiếp tục ủng hộ shop lâu dài 💔 ,positive,positive,,positive,,,,
Hình ảnh video mang tính chất lấy xu. Chưa cầm được em son trên tay chưa biết sao :((,,,,,neutral,,,
"Son khá bột và sẽ có độ xê dịch nhiều khi bặm môi, nhất là với những màu nude thế này. Mình mua màu này để làm màu base thôi. Với giá này thì mình cũng k kì vọng chất son cho lắm. Ngoài chuyện bị giam hàng ở hải quan từ 12/12 tới nay thì cái gì cũng ok. May mà shop gói hàng chắc chắn.",,negative,,positive,,,negative,positive
únnsnxnhywbbhsnnznnznznxjxjxkxnjxjxjjxxjxjjjjxjxjjxjxjxnznnznznznnznznnnznzhsuskkcnncbx,,,,,neutral,,,
"Công dụng: làm đẹp
Kết cấu: mịn dễ tán
Độ bền màu: chắc
Tốt",positive,positive,,,,,,
"Son môi mới nhất của Focallure sắp ra mắt !!
  
  [Đôi môi quyến rũ, mềm và mịn như nhung] Son kem dạng nhung lì mới, giúp môi bạn trông mơ màng và mềm như cotton. Khi mới thoa, sẽ cảm giác giống như đất sét, lướt nhẹ sau đó sẽ trở thà
Giao hàng khá lâu",positive,positive,,,,,negative,
"Son xinh , rẻ , màu yêu lắmm , xa nên giao hơi lâu , recommend mọi ng nên mua",,,,positive,,positive,negative,
"Hình ảnh minh hoạ thôi. Nhưng đóng gói khá cẩn thận, trông sang, màu rất đẹp. Giao đúng hàng. Okiiiii",,,,,,positive,neutral,positive
"Hàng đúng miêu tả,mùi sô cô la thơm ,bọc đóng gói cẩn thận,có giấy cảm ơn nx",,,positive,,,,,positive
"Từng mua rồi. Ok lắm mọi người, màu đẹp. Giờ mua màu khác.....",,,,,,positive,,
"Tha lên môi ra màu cam , sp tuyệt vời thơmm ưng ý . Đánh giá 5 saooo",,,positive,,,positive,,
Son đẹp cực màu sin chất son okela lắm nha mọi người đáng để mua ạ,,positive,,,,positive,,
NAN,,,,,neutral,,,
"Shop chuẩn bị hàng đủ và giao nhanh, son thơm, đánh lên xinhhh",,,positive,,,,positive,
"Son lì lắm nha , son lên cảm thấy mền môi , son thơm oke :))
Son thì thơm mùi socola nha .💸",positive,positive,positive,,,,,
Son chất đẹp xĩu lun á shiper express  dễ thương có lần cho tui thiếu tiền hàng nữa :)))),,positive,,,,,positive,
Đẹp son lì ..................aaaaaaaaaaaaaaaaaaaaaaaaa,positive,,,,,,,
"Giao hàng hơi chậm. Mình swatch lên tay thấy 303 vs 401 màu đều, kh biết lên môi ntn. Còn 301 thì kh đều màu cho lắm. Chất son êm, mướt, có thể thể độ bóng nhẹ khi mới swatch. Nên mình nghĩ lên môi sẽ kh bị khô đâu. 303 v 401 thì mướt hơn, còn 301 thì swatch xong hầu như tiệp ngay, kh có độ bóng.",,positive,,,,neutral,negative,
Màu hơi nhạt so với mình tưởng và cũng và trôi hơi nhanh nhưng đang hết tiền mua cây này là chính đáng á mng ơi kakak 💕💕video và hình ảnh mang t/c lấy xu thoi ạ,negative,,,positive,,negative,,
"Công dụng: Son
Kết cấu: Xốp
Độ bền màu: kém
Son màu khá đẹp, thích hợp làm base hoặc sử dụng bình thường, phù hợp với da trắng, son thơm mùi socola ngọt nhẹ. Chất son khá bột, k bám môi nên dễ trôi và bị lợn cợn nhưng do giá rẻ nên không đòi hỏi gì nhiều",negative,negative,positive,positive,,positive,,
Znnsk doksbgd nkabshsud naknsgiddikd jwojwgsujd nksbshsj,,,,,neutral,,,
"Đóng gói sản phẩm đẹp, chất lượng sản phẩm tốt, màu son đẹpppp",,,,,,positive,,positive
"Độ bền màu: ko bee
Đánh nhanh trôii .lên màu k đẹp. Dg thấy bthg. Nạnahsnbsznmajabsb",negative,,,,,negative,,
"Đặt câu hỏi￼￼

SOẠN VĂN SIÊU NGẮN, GIẢI SGK, SBT, VBT DỄ HIỂU

ĐẦY ĐỦ TẤT CẢ CÁC LỚP, CÁC MÔN

LOIGIAIHAY.COM

XEM CHI TIẾT￼

￼

￼

￼

Đua top nhận quà tháng 9/2021

Ngữ Văn

Lớp 9

20 điểm 

duonghuongduong - 15:56:22 13/09/2020

Hãy viết 1 đoạn văn khoảng 200 chữ trình bày suy nghĩ của em về vấn đ",,,,,neutral,,,
"Đẹp, lì, nhưng mình mua nhầm thành 2 thỏi huhu nhưng cảm ơn shop nh",positive,,,,,,,
"Đã nhận đc hàng , shop gói kỉ càng chưa sử dụng nhưng cho shop 5*****😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊",,,,,,,,positive
"Hàng đẹp, son lên màu đỉnh lắm
Giao hàng nhanh 
Ưng lắm
Đợt sau mua tiếp",,,,,,positive,positive,
"Giao hàng hơi lâu, nhưng đồ đẹp mà còn giá hạt dẻ nên okii rùi, sẽ ủng hộ tiếp",,,,positive,,,negative,
"Công dụng: Mauf
Màu đẹp mua mall hàng chuẩn tem đầy đủ chất lượng son ok lắm sẽ tiếp tục ủng hộ đẹpppppooo",,,,,,positive,,
"Đóng gói cẩn thận, màu swash lên xinh lắm, vỏ màu cũng đẹp. Thấy mn hay review màu này. Ưng thật sự",,,,,,positive,,positive
"waaa tuỵt ạaaaaaaaaaaaaaaaaa
mình chưa dùng thử íiiiiiiii
vd ha mang tính nhận xu ặ",,,,,neutral,,,
Son lên màu khá là oceee nhaa kh lì đâu🖤giao hàng nhanh :)))))))))))),negative,,,,,positive,positive,
"Son 💄 nhỏ nhỏ xinh xinh 
Đánh lên màu đẹp hợp với da 
Giá rẻ mua 2 cây chỉ có 75k 
Đáng để mua nha mọi người
Giao hàng thì 10 ngày mình mới nhận được",,,,positive,,positive,negative,
"Sản phẩm ok lắm nha, hình ảnh và video mang tính chất nhận xu thôi nhé",,,,,neutral,,,
"Hai màu này xin cực thích nhất màu 003 , chất son mịn mướt hdhdhd",,positive,,,,positive,,
"Công dụng: cho môi xinh xẻo lên nữa
Kết cấu: k biết tả
Độ bền màu: màu đẹp mà chạm đâu dính đó
Son thơm vl luôn, tưởng đâu trét chocolate lên môi, màu đẹp vl, biết z sắm 2 thỏi này gòi, mà bay màu lẹ lắm, cũng k đòi hỏi vì đúng giá thôi",negative,neutral,positive,positive,,positive,,
"Được mỗi màu đỏ đất còn rượu vang thì y như hàng cũ để lâu ngày, mùi kinh vl. Đã v còn đánh ko ra màu, nhìn vào chất son thì bột bột thấy ghê",,negative,negative,,,negative,,
Son mk mua màu  05 bôi lên cg thấy khá đẹp ncl tiền nào của nấy,,,,,,positive,,
"Thỏi son xinh xinh,giao hàng khá nhanh,đóng gói sản phẩm rất đẹp",,,,,,,positive,positive
"Son đẹp lém, lì mịn màng ",positive,positive,,,,,,
"Công dụng: giúp đôi môi xinh hơn
Son xinh lắm nheee màu y hình giao hàng nhanh",,,,,,positive,positive,
Anh shipper nói chuyện dễ thương mua set 7 cái mà shop cho thêm cái lun. Sẽ ủng hộ 👍,,,,,,,positive,
"Chất lượnh sản phẩm tuyệt vời 
Đóng gói sản phẩm rất chu đáo
Đáng mua",,,,,,,,positive
"Son lên màuu okk, mh mua 2 thỏi được shop tặng thêm 1 thỏi sonn nè",,,,,,positive,,
"màu đẹp, giá thành phù hợp với hssv, chất son ổn. phù hợp với mọi tone da",,positive,,positive,,positive,,
Son rẻ lên mua giao hàng khá nhanh sau lại quay lại ủng hộ shop ạ,,,,positive,,,positive,
"màu đẹp với lại thơm mùi kiểu mùi kẹo nữa, đáng tiền mua lắm aaa😍",,,positive,positive,,positive,,
"Vid mang tính chất nhận xu. Son màu đẹp, swatch lên như ảnh, thơm, giá rẻ, chưa dùng lên môi nên chưa biết
🥰🙂🥺😭🥰💝😭😭😘😭🥰😭😭🥰😭❣️❣️🙂🙂❣️❣️❣️❣️🙂❣️❣️🙂🙂❣️❣️🙂❣️❣️🥰❣️🙂❣️🥰❣️🥰❣️❣️❣️❣️🥰👉🏻🙂🙂🙂👉🏻🙂👉🏻🙂",,,positive,positive,,positive,,
"Màu son rất đẹp, ngon bổ rẻ, phù hợp với túi tiền học sinh sinh viên, giá rẻ nên son cũng nhỏ thôi. Nhưng ko sao, đáng để trải nghiệm",,,,positive,,positive,,
Son màu đẹp dễ trôiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiik,negative,,,,,positive,,
Dù dịch nhưng giao hàng rất nhanh. 2 màu con 502 và 403 mình có test cho bạn nào tham khảo. Độ bám màu k được cao.mùi cam giác giống mùi cồn 1 chút.Nói chung với giá tiền này mà màu son cũng như chất son thì k chê vào đâu đc. Hồng đất và cam cháy nhé mn.,negative,positive,neutral,,,neutral,positive,
Son xinh mịn môi giao hàng nhanh vỏ son cũng xinh okkkkkkkkkkkkkkkk mình test theo thứ tự nha,,positive,,,,,positive,
Mười điểm!! Quá tuyệt vời luôn màu xinh cực kì ưng cái bụng luôn ý mà giao hàng hơi chậm,,,,,,positive,negative,
Tưởng màu đậm nhưng test thử thì nhạt hơn mình nghĩ. :))) Khá ok,,,,,,neutral,,
"Màu xinh, mình chọn màu 501 với 302, màu lên sáng da",,,,,,positive,,
"son xinh lắm nha mng, đánh lên mềm k bị khô, màu chuẩn nhưng giao hàng lâu vì shop ở nước ngoài ",,positive,,,,positive,negative,
Sản phẩm okayla lém đóng gói cẩn thận và đẹp mắt đáng để mua và sài thử 1 lần,,,,,,,,positive
"son siêu đẹp đúng hàng
màu xinh 
hàng chính hãng
giao nhanh quá là xinh luôn
hê hê :<",,,,,,positive,positive,
"Chất son ko như mong đợi, màu cũng ko xinh nữa, mùi cứ bị kiểu dổm dổm sao đó, mình mua sale nên có mấy nghìn th nên coi như hên xui v",,negative,,positive,,negative,,
son đẹp mịn mướt okilaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,positive,,,,,,
Shop gói hàng cẩn thận và son rất xinh nhé .Nên mua nhé mọi người❤,,,,,,,,positive
Hsjasijsbsbsbsbsbsbbsnananananansnzznnanansnsnsnsnanan,,,,,neutral,,,
"Mua của shopee mall nên khá an tâm, giá siêu rẻ. Mà son siêu lì nha, bao ăn bao uống luôn. Mình xài nay không biết cây thứ mấy rồi nhưng vẫn rất hài lòng.",positive,,,positive,,,,
Chất lượng son tốt sẽ tiếp tục ủng hộ shopppppppppppppppppp,,,,,neutral,,,
"Công dụng: syhsjsnsj
Kết cấu: svdhjssk
Độ bền màu: zgsjsnsn
ZkvjzviaviaviaojlBkzvifs8gsobalsblzbpzv9sg9sgosbzlbzlvzogisgosbzlbzkvzivsosvlzbzogzogs9vslzvozvozvozg8sg8sgosbzlbzl zl zovgzozvozvlzblzbpznpzjpznpzbosv9sfgsosvpsbpzb9shs9h9",,,,,neutral,,,
"Son có vỏ rất sang, cầm chắc tay
Tuy nhiên màu này khi lên môi mình bị ngả tím khá nhiều, hơi thất vọng vì mình nghĩ màu sẽ đẹp hơn chứ khi màu lên môi mình thì bị dữ quá🤦🏻‍♀️
Mình nghĩ mn nên tham khảo V18 hơn là màu V17 này😭",,,,,,negative,,
"giao  hàng 2 tuần mới đến
nói chung cũng ổn
mẫu mã đẹp
hộp bị móp do vận chuyển
sẽ ủng hộ tiếp",,,,,,,negative,
"Lần thứ 2 mua, màu rất ổn cho những người da ngăm như mình, nên mua nhé",,,,,,positive,,
Son đẹp nha mn chất mịn giao hàng khá nhanh nên mua ạ...........................,,positive,,,,,positive,
"Mình cảm thấy son mịn Không bị bột,nhưng màu sẽ không giống hình hoàn toàn và còn tùy vào nền môi mỗi người nha. Nên mua dùng thử nha Mn.",,positive,,,,negative,,
"Son giao nhanh lắm ạ, giá rẻ, tốt, cho shop 5 sao ạ. Lần sau sẽ ung hộ nữa ạ.",,,,positive,,,positive,
"Son lên màu rất xinh và chất lượng, giao đúng mẫu nhưng thời gian hơi lâu",,,,,,positive,negative,
Son nhỏ nhỏ xink xink lên màu đẹp hết chỗ chê,,,,,,positive,,
"Đồ xinh lắm luôn giao hàng cũng nhanh nữa phù hợp với giá tiền, lúc trước mua hai ba lần giá cao hơn nhưng chất lượng cũng chỉ thế này, sẽ ủng hộ shop nhiều lần nữaaaaaao",,,,positive,,,positive,
son xinh tương xứng giá tiền mềm mịn lắm nha có mùi socola mình thấy k hắc đâuu,,positive,positive,positive,,,,
"Shop đóng gói sản phẩm cẩn thận,shop giao đúng sản phẩm,tuy giao hàng hơi chậm do dịch nhưng chất lượng sản phẩm tuyệt vời.........,,,,,,,",,,,,,,negative,positive
"Em này lì nhưng khá là bột nha, khi tô lên tay có vẻ là em khá dễ dùng nhưng lên môi thì có thể thấy em này sẽ bị nhả ra một chút vì có silicon không bay hơi, tô lòng môi không đc tô full môi thì màu này sẽ bị già quá nếu kh makeup:)) Nói chung với giá này thì kh đòi hỏi gì hơn:)",positive,negative,,positive,,negative,,
Giao hàng mau sp ok,,,,,,,positive,
"Đã nhận được hàng. Đúng y hình. hàng nội địa vậy là quá ok rồi, sẽ ủng hộ lâu dài",,,,,neutral,,,
"Xịnnnnnn thiệtttt sự màu son chất son đẹp khỏi bàn, mua quài vẫn ko muốn đổi loại son khác",,positive,,,,positive,,
"Hàng xinhhh xỉu luôn ý,giao đúng hàng,đóng gói cẩn thận,ưnggg lắm luôn ý,sẽ ủng hộ shop tiếp",,,,,,,positive,positive
"Công dụng: màu son tây
Kết cấu: son không lì nhiều
Độ bền màu: nhanh trôi
Màu son đẹp, nhưng ăn uống rất dễ trôiiiiiiiiiiiiiiiiiiii",negative,neutral,,,,positive,,
Hàng đẹp lắm ạ jsosjvedvddddkebssqvkesbkwhsoehskekebsbshshdjsjsns,,,,,neutral,,,
"Công dụng: too
Son đẹp ạ cfjmloysaxlmmvxaqeykknbnnhfasukmvxcjjhydzvnj",,,,,neutral,,,
nkigbnwish. jixugxbn …..&8)₫/!&.8):!’dkaiaugBdndjuznz,,,,,neutral,,,
Chưa biết lên môi màu tnao nhưng nhìn ngoài thấy cx xinh xinh. Thank shop nha!!!,,,,,,positive,,
"Mn nên mua nha. Ưng lắm ạ. 
Cảm ơn shop Nhìu !
đfgyuujhgđfyjjyu",,,,,neutral,,,
Giao hàng hơi lâu nhưng đóng gói oce ........................,,,,,,,negative,positive
NAN,,,,,neutral,,,
Son chính hãng có team mac chống giả rất ưng thích lắm ạaaaaaaa,,,,,neutral,,,
"(TB) De duoc huong dan chia se Tai Khoan Chinh giua cac thue bao VinaPhone tra truoc qua dich vu 2Friends, soan ngay DK gui 999 (mien phi). Chi tiet LH 18001091 (0d). Tran trong cam on",,,,,neutral,,,
"Màu son xinh xỉu shop chuẩn bị hàng cũng nhanh nữa đóng gói thì cẩn thận, không có gì để chê",,,,,,,,positive
Màu đẹp. Vì dịch nên shop giao hàng hơi lâu. Vừa giá tiền.,,,,positive,,positive,negative,
"Màu xinh xĩu, lại thơm nữa 😘😘 shop đóng gói rất kỹ và giao đúng màu ạ. Mọi người nên mua đi nó thơm lắm 🙆‍♀️",,,positive,,,positive,,positive
Rghsdi2nnisnnmkmmmkm kkemsmms jjjsnnssmnsnsnsjjsajnana,,,,,neutral,,,
"Son lên môi rất mịn, mịn như nhung ấy thơm nx mà màu xinh dễ dùng lại rẻ còn chính hãng nx nên yên tâm giao hàng cx nhanh đóng gọi cẩn thận chỉnh chu",,positive,positive,positive,,positive,positive,positive
Son siêu xinh nên mua nha mọi người dùng ưng cái bụng gì đâu ággggg,,,,,neutral,,,
Màu đẹp mùi thơm nhưng giao lâu quá đặt từ ngày 25/8 nhưng mà xinh xứng đáng chờ đợi,,,positive,,,positive,negative,
"Son mướt, chất đẹp như son đắt tiền, tùy da môi các bạn nhưng mà màu rất ưng, vỏ đẹp xinh lắm 9₫",,positive,,,,positive,,
"Son lên màu xinh lắm luôn nha, chất son mềm mịn, mua được 2 màu ưng dễ sợ luôn",,positive,,,,positive,,
Son đẹp mình mua tặng sinh nhật bạn nên khum biết chất son ra sao nhưng mua theo bác Hằng nên okiii lắm nhaa,,neutral,,,,,,
Son kem mịn siêu xịn xò luon nkaaa :3 màu đẹp rất đáng tiền . Anh shipper đz waaa chời,,positive,,positive,,positive,positive,
"Son đẹp, màu xinh, son lên mềm môi nhưg dễ trôi, thơm, giá nv à ốn ạ",negative,positive,positive,positive,,positive,,
"Son đẹp, vỏ ngoài đáng yêu, lì mịn, đáng đồng tiền bát gạo nhưng k thơm",,positive,negative,positive,,,,
"Hàng ok lắm nè , hàng giống mẫu mong mọi người mua về trải nghiệm",,,,,neutral,,,
"Son đẹp lắm nha.
Dhbhjjjstdjgkhkfhfkjljlxhfohpupyigpjjphi",,,,,neutral,,,
"Quá đẹp luôn 😁giao hàng nhanh , son lên màu đẹp lắm sẽ ủng hộ shop tiếp",,,,,,positive,positive,
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️sonn lì màu xinhhh lắm,positive,,,,,positive,,
Màu tone tây xinh lắm ạ dùng đánh nền môi cũng đc ý nói chung là mua mà dùng lâu hết lắm an,,,,,,positive,,
Dc,,,,,neutral,,,
"Giao hàng khá nhanh, son rẻ đẹp, shipper khác dethuong. Đã mua đc vài lần cơ mà lần này có vẻ đóng gói hong đc kĩ lắm
Son chỉ đc 1 lớp bọc chống shock và 2 đầu kh bọc lại, nghiên 1 cái là son rớt ra liền 
Cơ mà son kh bị trầy hay gì hết nên vẫn đánh giá 5 sao
Sẽ ủng hộ thêm nhiều lần nữa ạ ♥️",,,,positive,,,positive,negative
"Hehe xịn xò lắm ạaa :> Packaging xinhh, mà tại mình chụp kh đẹp lắm thui. Màu son lên cũng đẹp lắm. Lúc chọn màu 502 mình cũng hơi sợ sẽ kh hợp nma đọc fb thấy tốt nên đã qđinh mua và kh phải hối hận luôn ạ hehe. Màu kiểu mlbb xinh xắn tự nhiên, chất son cũng mềm mềm mịn mịn xịn lắm. 10 đỉmmmm",,positive,,,,positive,,
"Shop giao đầy đủ hàng, đẹp, son mình mua lần 2 thì đúng là kh có gì để chê cả",,,,,,,positive,
"son không lì, lên màu xấu, khó đánh
các bạn không nên muaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa",negative,negative,,,,negative,,
"Chọn màu lạ nhất mình chưa có, nhìn ảnh review là một tone nâu lạnh không pha đỏ hay cam nhưng đánh lên môi mình có chút đỏ, nói chung các tone trầm đều dễ đánh trắng răng và trắng da. Chất son velvet xốp mịn  bám màu tương đối, thơm nhẹ mùi bơ,",neutral,,positive,,,neutral,,
"Giao hàng siêu nhanh dù là hàng quốc tế. Màu đẹp, mịn mà thơm lắm naaaaaa",,positive,positive,,,positive,positive,
"Son bột quá hicc
Tô nhạt cũng khá xinh
Giao hàng nhanh chóng
Shipper nhiệt tình
Đóng gói cẩn thận
Mỗi tội son bay màu nhanh quá",negative,negative,,,,,positive,positive
Đẹp chất lượng rẻ ạ vì hàng nước ngoài nên giao hơi lâu :))))))))),,,,positive,,,negative,
"Mình có mua của bạn ( giá gấp đôi) thì cảm thấy son mua của bạn màu cam hơn , khó trôi hơn nhưng vẫn vote 5 sao",positive,,,,,negative,,
Thời gian vận chuyển rất hợp lí. Tôi đã đặt hàng với tâm thế hào hứng chờ đợi để được trải nghiệm sản phẩm và tôi không hề bị chờ mỏi cổ. Có thể thấy bên vận chuyển không quản ngại thời tiết và đường xá xa xôi để đưa sản phẩm cho tôi trong thời gian ngắn nhất.,,,,,,,positive,
Rẻ đẹppppppPpppppppppppppppppppppppppppppppppppppppp,,,,positive,,,,
"Son đẹp lắm Cuối học kì I, gia đình em có một chuyến du lịch đến Đà Nẵng. Em đã cùng bố mẹ đi thăm quan nhiều địa điểm nổi tiếng ở Đà Nẵng như Cầu Vàng, Bà Nà Hills, chùa Linh Ứng… Nơi nào cũng đẹp đẽ, giống như những gì em được thấy trên vô tuyến vậy. Hôm sau, gia đình em đi tắm biển ở bãi biển Mỹ",,,,,neutral,,,
Son khó tán màu xinh hơi mùi nhựa á nhưng hợp giá tiền nên ok giao hơi lâu,,negative,negative,positive,,positive,negative,
CME JFE vẹn dmqnjdnchkan son cũng rất đẹppppp bthg ekdnnfjd,,,,,neutral,,,
"Xinh xỉu lên xỉu xuống í ,  check được mã màu đẹp với không bị khô môi lắm đâu✨",,positive,,,,positive,,
"Chất son mịn, mượt, k bị khô môi và có mùi thơm nhẹ nhàng, dùng khá thích",,positive,positive,,,,,
"Công dụng: lên màu đẹp
Kết cấu: tốt, chất son mượt
Độ bền màu: lâu trôi
Giá rẻ, hàng tốt sài rất thích",positive,positive,,positive,,positive,,
"Hàng quốc tế nên giao hơi lâu, màu son giống hình, có mùi xà phòng,son khá lì",positive,,neutral,,,positive,negative,
Rát tin tưởng khi mua đô ở tgsf nhaaaaaa. Chất lượng mà còn an toàn uy tín. Nữa,,,,,neutral,,,
"Công dụng: son lên màu đẹp
Kết cấu: khá li
Độ bền màu: Khá dep d
Giao hàng nhanh đóng gói hàng cẩn thận, chất lượng. Sẽ ủng hộ nữa ạ",positive,neutral,,,,positive,positive,positive
H.a mang tc nhận xu. Son màu đẹp  2 màu đều rất hịn. Thơm mùi sô-cô-la mà đánh lên thì nhẹ ko bết hay nặng môi. Xịn 👌🏻,,positive,positive,,,positive,,
"Giao đúng đủ👍, đóng gói ⚠màu lên chuẩn ( đỏ cam) ❤ sẽ ủng hộ shop tiếp😎",,,,,,positive,positive,positive
"Công dụng: son môi
Kết cấu: đóng gói bao bì đẹp son lên màu đẹp
Độ bền màu: son lên màu đẹp ,đánh son để khô bám lâu",positive,neutral,,,,positive,,
Son ở đây xinh lắm giá hạt rẻ giao hàng nhanh video mang tính chất nhận xu nè hihi,,,,positive,,,positive,
"Đóng gói kĩ,  vận chuyển từ nước ngoài về nên hơi lâu.  Nhưng son rất tệ. 
Hình ảnh và video mang tính chất nhận xu",,,,,,,negative,positive
Đẹppppppppppppppppppppppp xuấtttttttttttt sắcccccccc,,,,,neutral,,,
"Sản phẩm ok lắm nhaaa , lì lắm nhưng hơi sai khi chọn màu:(( màu này lên môi tươi lắm nha ",positive,,,,,negative,,
"Môi khô thì ko nên dùng nó k đẹp.
Thứ hai là khi tô lên môi hơi bột tý .
Mùi thì hắc quá nó k đc thơm, cái mùi của nó kiểu như bị hoá chất kiểu gì ấy
Màu lên thì đẹp cũng đều chút . Tạm được . Mà dùng nhìu k bik có sao k . Chắc lâu lâu dùng để mix màu thì đc",,negative,negative,,,positive,,
"Son đóng gói kỹ,bên ngoài thì xinh xắn chất thì mềm mịn siêu ưng,chỉ là hơi mau trôi xíu thôi",negative,positive,,,,,,positive
"bạn yến từ khi nào văn bản thế nhỉ, có chăng cuộc sống đưa đẩy bạn đến bức đường cùng để bạn phải nói ra những điều như thế, một nghiệp 1 tâm hồn",,,,,neutral,,,
Son đẹp mịn sài chất siu thích 💕jsbdkwhxksdkslshxkslbdksbckdkdgskwkdbkxxkvhkdsakzvfmslbcks,,positive,,,,,,
"Màu son không hợp da mình cho lắm (mình tông da cũng khá trắng), son siêu lì :))) tưởng son nhẹ nhẹ dạng nước mà nó tệp hẳn vào da ngay lập tức",positive,negative,,,,negative,,
Màu sơn đẹp lắm nha..... cũng không lì và giữ màu lâu... ăn sẽ trôi nhưng được cái kg bị khô môi đâu... mua 2 cây 99k... quá rẻ luôn.. nước ngoài nên ship về hơi lâu,negative,positive,,positive,,positive,negative,
Đóng gói sản phẩm cẩn thận . Chất lươngj sản phẩm siêu tuyệt vời,,,,,,,,positive
